2025/04/06 19:35:085942 INFO  TcpConnection::dtor[HttpServer-127.0.0.1:8080#81600]at fd=13state=0 - TcpConnection.cc:58
2025/04/06 19:35:085953 INFO  fd total count:4 - EPollPoller.cc:32
2025/04/06 19:35:085957 INFO  events happend3 - EPollPoller.cc:40
2025/04/06 19:35:085960 INFO  channel handleEvent revents:1 - Channel.cc:73
2025/04/06 19:35:085972 ERROR EventLoopThreadPool::getNextLoop ERROR - EventLoopThreadPool.cc:43
2025/04/06 19:35:085976 INFO  TcpServer::newConnection [HttpServer]- new connection [HttpServer-127.0.0.1:8080#81603]from %s127.0.0.1:39754 - TcpServer.cc:75
2025/04/06 19:35:085983 INFO  TcpConnection::ctor:[HttpServer-127.0.0.1:8080#81603]at fd=13 - TcpConnection.cc:52
2025/04/06 19:35:085993 INFO  func =>fd13events=3index=-1 - EPollPoller.cc:66
2025/04/06 19:35:086000 INFO  HTTP Connection UP: 127.0.0.1:39754 - main.cc:96
2025/04/06 19:35:086005 INFO  channel handleEvent revents:17 - Channel.cc:73
2025/04/06 19:35:086012 INFO  TcpConnection::handleClose fd=14state=3 - TcpConnection.cc:241
2025/04/06 19:35:086015 INFO  func =>fd14events=0index=1 - EPollPoller.cc:66
2025/04/06 19:35:086018 INFO  HTTP Connection DOWN: 127.0.0.1:39730 - main.cc:98
2025/04/06 19:35:086023 INFO  TcpServer::removeConnectionInLoop [HttpServer] - connection %sHttpServer-127.0.0.1:8080#81601 - TcpServer.cc:114
2025/04/06 19:35:086030 INFO  channel handleEvent revents:1 - Channel.cc:73
2025/04/06 19:35:086088 INFO  removeChannel fd=14 - EPollPoller.cc:102
2025/04/06 19:35:086096 INFO  TcpConnection::dtor[HttpServer-127.0.0.1:8080#81601]at fd=14state=0 - TcpConnection.cc:58
2025/04/06 19:35:086106 INFO  fd total count:4 - EPollPoller.cc:32
2025/04/06 19:35:086111 INFO  events happend3 - EPollPoller.cc:40
2025/04/06 19:35:086114 INFO  channel handleEvent revents:1 - Channel.cc:73
2025/04/06 19:35:086126 ERROR EventLoopThreadPool::getNextLoop ERROR - EventLoopThreadPool.cc:43
2025/04/06 19:35:086130 INFO  TcpServer::newConnection [HttpServer]- new connection [HttpServer-127.0.0.1:8080#81604]from %s127.0.0.1:39762 - TcpServer.cc:75
2025/04/06 19:35:086148 INFO  TcpConnection::ctor:[HttpServer-127.0.0.1:8080#81604]at fd=14 - TcpConnection.cc:52
2025/04/06 19:35:086161 INFO  func =>fd14events=3index=-1 - EPollPoller.cc:66
2025/04/06 19:35:086169 INFO  HTTP Connection UP: 127.0.0.1:39762 - main.cc:96
2025/04/06 19:35:086174 INFO  channel handleEvent revents:17 - Channel.cc:73
2025/04/06 19:35:086181 INFO  TcpConnection::handleClose fd=5state=3 - TcpConnection.cc:241
2025/04/06 19:35:086184 INFO  func =>fd5events=0index=1 - EPollPoller.cc:66
2025/04/06 19:35:086188 INFO  HTTP Connection DOWN: 127.0.0.1:39740 - main.cc:98
2025/04/06 19:35:086193 INFO  TcpServer::removeConnectionInLoop [HttpServer] - connection %sHttpServer-127.0.0.1:8080#81602 - TcpServer.cc:114
2025/04/06 19:35:086200 INFO  channel handleEvent revents:1 - Channel.cc:73
2025/04/06 19:35:086259 INFO  removeChannel fd=5 - EPollPoller.cc:102
2025/04/06 19:35:086267 INFO  TcpConnection::dtor[HttpServer-127.0.0.1:8080#81602]at fd=5state=0 - TcpConnection.cc:58
2025/04/06 19:35:086277 INFO  fd total count:4 - EPollPoller.cc:32
2025/04/06 19:35:086282 INFO  events happend3 - EPollPoller.cc:40
2025/04/06 19:35:086285 INFO  channel handleEvent revents:1 - Channel.cc:73
2025/04/06 19:35:086297 ERROR EventLoopThreadPool::getNextLoop ERROR - EventLoopThreadPool.cc:43
2025/04/06 19:35:086301 INFO  TcpServer::newConnection [HttpServer]- new connection [HttpServer-127.0.0.1:8080#81605]from %s127.0.0.1:39776 - TcpServer.cc:75
2025/04/06 19:35:086308 INFO  TcpConnection::ctor:[HttpServer-127.0.0.1:8080#81605]at fd=5 - TcpConnection.cc:52
2025/04/06 19:35:086318 INFO  func =>fd5events=3index=-1 - EPollPoller.cc:66
2025/04/06 19:35:086325 INFO  HTTP Connection UP: 127.0.0.1:39776 - main.cc:96
2025/04/06 19:35:086329 INFO  channel handleEvent revents:17 - Channel.cc:73
2025/04/06 19:35:086336 INFO  TcpConnection::handleClose fd=13state=3 - TcpConnection.cc:241
2025/04/06 19:35:086339 INFO  func =>fd13events=0index=1 - EPollPoller.cc:66
2025/04/06 19:35:086343 INFO  HTTP Connection DOWN: 127.0.0.1:39754 - main.cc:98
